Dealer's Choice Right,Colorado,10 Mile Canyon,Halfway Rock
Godzilla,Colorado,10 Mile Canyon,Halfway Rock
Once Bitten,Colorado,10 Mile Canyon,Halfway Rock
Paranoid,Colorado,10 Mile Canyon,Halfway Rock
Twice Shy,Colorado,10 Mile Canyon,Halfway Rock
Aces High,Colorado,10 Mile Canyon,Mount Royal (near Frisco)
Crown Royal,Colorado,10 Mile Canyon,Mount Royal (near Frisco)
The Far West,Colorado,10 Mile Canyon,Mount Royal (near Frisco)
Royal Flush,Colorado,10 Mile Canyon,Mount Royal (near Frisco)
Royal Rocklette Arte,Colorado,10 Mile Canyon,Mount Royal (near Frisco)
Aspirations,Colorado,10 Mile Canyon,Officer's Gulch West
Dirty Downs,Colorado,10 Mile Canyon,Officer's Gulch West
Incoming,Colorado,10 Mile Canyon,Officer's Gulch West
Logan's Run,Colorado,10 Mile Canyon,Officer's Gulch West
Notches,Colorado,10 Mile Canyon,Officer's Gulch West
Patience,Colorado,10 Mile Canyon,Officer's Gulch West
Rookies' Demise,Colorado,10 Mile Canyon,Officer's Gulch West
Simul I,Colorado,10 Mile Canyon,Officer's Gulch West
Sinus Infection,Colorado,10 Mile Canyon,Officer's Gulch West
Trinity,Colorado,10 Mile Canyon,Officer's Gulch West
Twisted Ankle,Colorado,10 Mile Canyon,Officer's Gulch West
Tres Amigos,Colorado,10 Mile Canyon,Officer's Wall
ALBOE,Colorado,10 Mile Canyon,The Shire
Ants On A Log,Colorado,10 Mile Canyon,The Shire
Mainstreet,Colorado,10 Mile Canyon,The Shire
"""Unnamed Arete""",Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Can Do,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Cerebellum,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Dirty Sanchez,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Free Fall,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
The Gecko,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Goofer's Roof,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Jack Straw,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Kanarado Korner,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Reflections,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Scotch on the Rocks,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Wichita Skyline,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Zig Zag,Colorado,10 Mile Canyon,Sunshine Buttess (aka Wichita Wall)
Ain't Misbehavin',Colorado,10 Mile Canyon,White Cliff
Big Dihedral,Colorado,10 Mile Canyon,White Cliff
Blitz Girls,Colorado,10 Mile Canyon,White Cliff
Czech Cashing,Colorado,10 Mile Canyon,White Cliff
Dirty Blonde,Colorado,10 Mile Canyon,White Cliff
Easy Redhead,Colorado,10 Mile Canyon,White Cliff
The Exfoliator,Colorado,10 Mile Canyon,White Cliff
Funky Gunky,Colorado,10 Mile Canyon,White Cliff
Hard Monkey,Colorado,10 Mile Canyon,White Cliff
Little Di,Colorado,10 Mile Canyon,White Cliff
Overhangutang,Colorado,10 Mile Canyon,White Cliff
Parallel Universe,Colorado,10 Mile Canyon,White Cliff
Rufies,Colorado,10 Mile Canyon,White Cliff
Water Groove,Colorado,10 Mile Canyon,White Cliff
Zebra,Colorado,10 Mile Canyon,White Cliff
Babcock Peak 4 Summit Traverse,Colorado,Alpine Rock,Babcock Peak
The Knife,Colorado,Alpine Rock,Babcock Peak
Right Couloir from Boren Creek ,Colorado,Alpine Rock,Babcock Peak
Little Bear-Blanca Traverse,Colorado,Alpine Rock,Blanca Peak
Ormes Buttress,Colorado,Alpine Rock,Blanca Peak
Silver Couloir,Colorado,Alpine Rock,Buffalo Mountain
Capitol-Snowmass Traverse,Colorado,Alpine Rock,Capitol Peak
Early Times,Colorado,Alpine Rock,Capitol Peak
Northeast Ridge (Knife-Edge),Colorado,Alpine Rock,Capitol Peak
Northwest Buttress,Colorado,Alpine Rock,Capitol Peak
Donkey Ear,Colorado,Alpine Rock,Chimneys of Treasure
Roger's Route,Colorado,Alpine Rock,Chimneys of Treasure
"East Ridge - The Citadel (Clear Creek, CO)",Colorado,Alpine Rock,The Citadel
Crestone Peak / North Pillar,Colorado,Alpine Rock,The Crestones
Crestone Peak North Buttress,Colorado,Alpine Rock,The Crestones
Crestone Traverse,Colorado,Alpine Rock,The Crestones
Ellingwood Ledges,Colorado,Alpine Rock,The Crestones
India,Colorado,Alpine Rock,The Crestones
Kit Carson / The Prow,Colorado,Alpine Rock,The Crestones
Northwest Couloir,Colorado,Alpine Rock,The Crestones
Wrong Peak,Colorado,Alpine Rock,Ellingwood Point
The Skin Flute Couloir,Colorado,Alpine Rock,Fluted Peak
Worthy Endeavor,Colorado,Alpine Rock,Frasco's Toe
Grizzly Couloir,Colorado,Alpine Rock,Grizzly Peak
Ellingwood Ridge,Colorado,Alpine Rock,La Plata
Northwest Ridge with North Face Ski Descent,Colorado,Alpine Rock,La Plata
Unknown couloir on north face,Colorado,Alpine Rock,La Plata
Northwest Face,Colorado,Alpine Rock,Little Bear Peak
West Ridge and Hourglass Couloir,Colorado,Alpine Rock,Little Bear Peak
West Ridge Direct,Colorado,Alpine Rock,Little Bear Peak
Bell Cord Couloir,Colorado,Alpine Rock,Maroon Bells
Maroon Ridge,Colorado,Alpine Rock,Maroon Bells
Northeast Ridge,Colorado,Alpine Rock,Maroon Bells
Holy Cross Couloir,Colorado,Alpine Rock,Mount of the Holy Cross
North Face Couloirs,Colorado,Alpine Rock,Pacific Peak
Megamidal Traverse,Colorado,Alpine Rock,Pyramid Peak
Northeast Ridge,Colorado,Alpine Rock,Pyramid Peak
Northwest Ridge,Colorado,Alpine Rock,Pyramid Peak
Beardsley Route,Colorado,Alpine Rock,Quandary Peak
Cristo Couloir,Colorado,Alpine Rock,Quandary Peak
The Golden Goat Buttress,Colorado,Alpine Rock,Quandary Peak
Inwood Arete,Colorado,Alpine Rock,Quandary Peak
King's Crown,Colorado,Alpine Rock,Quandary Peak
Second Reincarnation of the Golden Goat,Colorado,Alpine Rock,Quandary Peak
Choss Bubbles (summer var. to an existing winter route),Colorado,Alpine Rock,Rolling Mountain
Mayflower Cirque Traverse,Colorado,Alpine Rock,Tenmile Range
Tenmile Traverse,Colorado,Alpine Rock,Tenmile Range
Astromarmot,Colorado,Alpine Rock,Tijeras Peak
Black and White Movies,Colorado,Alpine Rock,Tijeras Peak
El Camino de Cabra,Colorado,Alpine Rock,Tijeras Peak
Ichiban,Colorado,Alpine Rock,Tijeras Peak
Kiss of the Lion,Colorado,Alpine Rock,Tijeras Peak
"Wild, Immaculate",Colorado,Alpine Rock,Tijeras Peak
Dead Dog Couloir,Colorado,Alpine Rock,Torrey's Peak
Kelso Ridge,Colorado,Alpine Rock,Torrey's Peak
North Face Ski Descent,Colorado,Alpine Rock,Torrey's Peak
The Beaver,Colorado,Alpine Rock,RMNP - Rock,Long's Peak,Upper East Face
